ID,Ean,Title,Category,Vendor,Price,Rating,Created At
1,1018947080336,Rustic Paper Wallet,Gizmo,"Swaniawski, Casper and Hilll",29.46,4.6,"julho 19, 2023, 7:44 PM"
2,7663515285824,Small Marble Shoes,Doohickey,Balistreri-Ankunding,70.08,0,"abril 11, 2025, 8:49 AM"
3,4966277046676,Synergistic Granite Chair,Doohickey,"Murray, Watsica and Wunsch",35.39,4,"setembro 8, 2024, 10:03 PM"
4,4134502155718,Enormous Aluminum Shirt,Doohickey,Regan Bradtke and Sons,73.99,3,"março 6, 2024, 2:53 AM"
5,5499736705597,Enormous Marble Wallet,Gadget,"Price, Schultz and Daniel",82.75,4,"outubro 3, 2022, 1:47 AM"
6,2293343551454,Small Marble Hat,Doohickey,Nolan-Wolff,64.96,3.8,"março 29, 2023, 5:43 AM"
7,0157967025871,Aerodynamic Linen Coat,Doohickey,Little-Pagac,98.82,4.3,"junho 3, 2023, 3:07 AM"
8,1078766578568,Enormous Steel Watch,Doohickey,Senger-Stamm,65.89,4.1,"abril 30, 2024, 3:03 PM"
9,7217466997444,Practical Bronze Computer,Widget,Keely Stehr Group,58.31,4.2,"fevereiro 7, 2025, 8:26 AM"
10,1807963902339,Mediocre Wooden Table,Gizmo,"Larson, Pfeffer and Klocko",31.79,4.3,"janeiro 9, 2023, 9:51 AM"
11,3642408008706,Ergonomic Silk Coat,Gadget,"Upton, Kovacek and Halvorson",88.3,0,"maio 28, 2024, 8:02 AM"
12,9482467478850,Sleek Paper Toucan,Gizmo,Mueller-Dare,77.34,4.4,"novembro 12, 2023, 2:51 PM"
13,0399569209871,Synergistic Steel Chair,Gizmo,Mr. Tanya Stracke and Sons,75.09,0,"maio 24, 2022, 11:09 PM"
14,8833419218504,Awesome Concrete Shoes,Widget,McClure-Lockman,25.1,4,"dezembro 31, 2023, 2:41 PM"
15,5881647583898,Aerodynamic Paper Computer,Widget,Friesen-Anderson,25.1,4,"setembro 8, 2022, 2:42 PM"
16,9633135585459,Incredible Bronze Pants,Gadget,"Okuneva, Kutch and Monahan",44.07,4,"janeiro 30, 2023, 10:00 PM"
17,6704641545275,Enormous Wool Car,Doohickey,"Hilpert, Jacobs and Hauck",53.29,4.3,"janeiro 31, 2023, 11:05 AM"
18,8909358907493,Lightweight Paper Bottle,Gadget,Wilkinson-Gottlieb,54.6,4.4,"fevereiro 11, 2023, 3:45 AM"
19,4307721071729,Rustic Concrete Bottle,Doohickey,"Gibson, Turner and Douglas",42.67,4.2,"novembro 6, 2022, 11:27 PM"
20,5099742600901,Intelligent Wooden Gloves,Gizmo,Ora Monahan and Sons,24.88,4,"agosto 25, 2023, 6:18 PM"
21,5856636800041,Lightweight Wool Bag,Gadget,Heaney-Windler,40.38,4.1,"junho 30, 2022, 7:30 AM"
22,7595223735110,Enormous Marble Shoes,Gizmo,"Mayer, Kiehn and Turcotte",21.42,4.2,"novembro 24, 2023, 8:14 PM"
23,1576499102253,Fantastic Aluminum Bottle,Widget,"Reichert, Johnson and Roob",77.91,3.8,"fevereiro 1, 2024, 4:00 PM"
24,2820850288674,Synergistic Marble Keyboard,Doohickey,Claude Thompson Group,74.87,3.4,"fevereiro 8, 2023, 5:19 AM"
25,4863291591550,Durable Marble Watch,Widget,"Ritchie, Haley and Pacocha",45.75,0,"outubro 17, 2024, 3:54 AM"
26,3987140172453,Ergonomic Aluminum Plate,Widget,Tia Goyette Group,45.42,0,"novembro 2, 2023, 9:54 AM"
