"customer_nk","customer_sk","dbt_valid_from","dbt_valid_to"
"METABASE_1","1","2025-11-21 23:39:47.459689",NULL
"METABASE_10","1","2025-11-21 23:39:47.459689",NULL
"METABASE_100","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1000","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1001","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1002","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1003","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1004","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1005","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1006","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1007","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1008","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1009","1","2025-11-21 23:39:47.459689",NULL
"METABASE_101","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1010","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1011","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1012","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1013","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1014","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1015","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1016","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1017","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1018","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1019","1","2025-11-21 23:39:47.459689",NULL
"METABASE_102","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1020","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1021","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1022","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1023","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1024","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1025","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1026","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1027","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1028","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1029","1","2025-11-21 23:39:47.459689",NULL
"METABASE_103","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1030","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1031","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1032","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1033","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1034","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1035","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1036","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1037","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1038","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1039","1","2025-11-21 23:39:47.459689",NULL
"METABASE_104","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1040","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1041","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1042","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1043","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1044","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1045","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1046","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1047","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1048","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1049","1","2025-11-21 23:39:47.459689",NULL
"METABASE_105","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1050","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1051","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1052","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1053","1","2025-11-21 23:39:47.459689",NULL
"METABASE_1054","1","2025-11-21 23:39:47.459689",NULL
