"order_nk","source_system","source_order_id","order_date","dim_customer_sk","dim_product_sk","dim_supplier_sk","dim_employee_sk","dim_category_sk","dim_channel_sk","gross_amount","net_amount"
"NORTHWIND_10838","NORTHWIND","10838","2008-01-19 00:00:00-02","1","1","1","-1","5","2","72.0000","54.0000"
"NORTHWIND_10911","NORTHWIND","10911","2008-02-26 00:00:00-03","1","1","1","-1","5","2","180.0000","180.0000"
"NORTHWIND_10413","NORTHWIND","10413","2007-01-14 00:00:00-02","1","1","1","-1","5","2","345.6000","345.6000"
"NORTHWIND_10691","NORTHWIND","10691","2007-10-03 00:00:00-03","1","1","1","-1","5","2","540.0000","540.0000"
"NORTHWIND_10646","NORTHWIND","10646","2007-08-27 00:00:00-03","1","1","1","-1","5","2","270.0000","202.5000"
"NORTHWIND_10863","NORTHWIND","10863","2008-02-02 00:00:00-02","1","1","1","-1","5","2","360.0000","306.0000"
"NORTHWIND_10348","NORTHWIND","10348","2006-11-07 00:00:00-02","1","1","1","-1","5","2","216.0000","183.6000"
"NORTHWIND_10477","NORTHWIND","10477","2007-03-17 00:00:00-03","1","1","1","-1","5","2","216.0000","216.0000"
"NORTHWIND_10370","NORTHWIND","10370","2006-12-03 00:00:00-02","1","1","1","-1","5","2","216.0000","183.6000"
"NORTHWIND_10689","NORTHWIND","10689","2007-10-01 00:00:00-03","1","1","1","-1","5","2","630.0000","472.5000"
"NORTHWIND_10285","NORTHWIND","10285","2006-08-20 00:00:00-03","1","1","1","-1","5","2","648.0000","518.4000"
"NORTHWIND_10847","NORTHWIND","10847","2008-01-22 00:00:00-02","1","1","1","-1","5","2","1440.0000","1152.0000"
"NORTHWIND_10354","NORTHWIND","10354","2006-11-14 00:00:00-02","1","1","1","-1","5","2","172.8000","172.8000"
"NORTHWIND_10700","NORTHWIND","10700","2007-10-10 00:00:00-03","1","1","1","-1","5","2","90.0000","72.0000"
"NORTHWIND_10522","NORTHWIND","10522","2007-04-30 00:00:00-03","1","1","1","-1","5","2","720.0000","576.0000"
"NORTHWIND_10935","NORTHWIND","10935","2008-03-09 00:00:00-03","1","1","1","-1","5","2","378.0000","378.0000"
