"order_nk","order_date","customer_nk","product_nk","supplier_nk","category_nk","quantity","unit_price"
"METABASE_18741","2022-09-06 14:37:00-03","METABASE_PERSON_2498","METABASE_131","METABASE_SUP_batz-schroeder","METABASE_CAT_widget","5.0000","15.0820"
"METABASE_18740","2022-12-29 03:56:00-03","METABASE_PERSON_2498","METABASE_60","METABASE_SUP_stroman-carroll","METABASE_CAT_doohickey","2.0000","9.9350"
"METABASE_18739","2023-09-09 06:03:00-03","METABASE_PERSON_2498","METABASE_46","METABASE_SUP_una_fadel_group","METABASE_CAT_gadget","5.0000","15.7400"
"METABASE_18738","2024-10-24 09:06:00-03","METABASE_PERSON_2498","METABASE_30","METABASE_SUP_miles_ryan_group","METABASE_CAT_gadget","5.0000","12.8340"
"METABASE_18737","2025-08-27 21:19:00-03","METABASE_PERSON_2498","METABASE_84","METABASE_SUP_americo_sipes_and_sons","METABASE_CAT_gizmo","4.0000","20.4700"
"METABASE_18736","2024-05-04 14:08:00-03","METABASE_PERSON_2497","METABASE_3","METABASE_SUP_murray,_watsica_and_wunsch","METABASE_CAT_doohickey","3.0000","17.6933"
"METABASE_18735","2023-12-04 20:36:00-03","METABASE_PERSON_2497","METABASE_116","METABASE_SUP_denesik-ortiz","METABASE_CAT_gizmo","2.0000","38.1400"
"METABASE_18734","2023-11-24 12:58:00-03","METABASE_PERSON_2497","METABASE_177","METABASE_SUP_ursula_collins_llc","METABASE_CAT_gadget","3.0000","28.6267"
"METABASE_18733","2026-02-16 11:55:00-03","METABASE_PERSON_2497","METABASE_40","METABASE_SUP_maegan_casper_group","METABASE_CAT_gizmo","1.0000","99.6600"
"METABASE_18732","2024-09-22 11:01:00-03","METABASE_PERSON_2497","METABASE_164","METABASE_SUP_bosco-breitenberg","METABASE_CAT_doohickey","3.0000","30.9900"
"METABASE_18731","2023-05-14 04:42:00-03","METABASE_PERSON_2497","METABASE_150","METABASE_SUP_morar-schamberger","METABASE_CAT_gadget","3.0000","28.5667"
"METABASE_18730","2023-12-26 19:04:00-03","METABASE_PERSON_2497","METABASE_24","METABASE_SUP_claude_thompson_group","METABASE_CAT_doohickey","2.0000","37.4350"
"METABASE_18729","2025-09-15 17:16:00-03","METABASE_PERSON_2497","METABASE_98","METABASE_SUP_pacocha-volkman","METABASE_CAT_gizmo","4.0000","28.1050"
"METABASE_3957","2023-08-27 06:39:00-03","METABASE_PERSON_552","METABASE_158","METABASE_SUP_israel_spinka_and_sons","METABASE_CAT_gizmo","4.0000","23.3150"
"METABASE_3956","2025-12-17 00:48:00-03","METABASE_PERSON_552","METABASE_57","METABASE_SUP_kuphal,_schowalter_and_bogan","METABASE_CAT_gizmo","1.0000","122.4200"
"METABASE_3955","2026-03-28 16:42:00-03","METABASE_PERSON_552","METABASE_45","METABASE_SUP_volkman,_greenfelder_and_kiehn","METABASE_CAT_doohickey","1.0000","118.0500"
"METABASE_3954","2023-06-02 23:46:00-03","METABASE_PERSON_552","METABASE_178","METABASE_SUP_halle_kulas_i_llc","METABASE_CAT_widget","3.0000","26.0733"
"METABASE_3953","2025-04-26 00:32:00-03","METABASE_PERSON_552","METABASE_156","METABASE_SUP_schinner,_schmitt_and_crona","METABASE_CAT_gadget","2.0000","15.3100"
"METABASE_3952","2025-12-10 02:34:00-03","METABASE_PERSON_552","METABASE_121","METABASE_SUP_wolff,_ebert_and_hansen","METABASE_CAT_doohickey","2.0000","20.2250"
"METABASE_3951","2025-07-23 00:03:00-03","METABASE_PERSON_552","METABASE_46","METABASE_SUP_una_fadel_group","METABASE_CAT_gadget","4.0000","29.5125"
"METABASE_3950","2024-12-28 07:12:00-03","METABASE_PERSON_552","METABASE_67","METABASE_SUP_myriam_macejkovic_inc","METABASE_CAT_gizmo","2.0000","20.6200"
"METABASE_3949","2024-07-05 09:14:00-03","METABASE_PERSON_552","METABASE_31","METABASE_SUP_quigley,_von_and_will","METABASE_CAT_doohickey","3.0000","35.2167"
"METABASE_3948","2023-05-31 22:05:00-03","METABASE_PERSON_552","METABASE_168","METABASE_SUP_roscoe_oberbrunner_group","METABASE_CAT_gadget","3.0000","26.4300"
"METABASE_3947","2025-08-11 18:00:00-03","METABASE_PERSON_552","METABASE_195","METABASE_SUP_ford_runolfsson_group","METABASE_CAT_gadget","6.0000","18.2967"
"METABASE_3946","2024-05-20 01:25:00-03","METABASE_PERSON_552","METABASE_74","METABASE_SUP_herman_flatley_group","METABASE_CAT_gadget","3.0000","17.0433"
"METABASE_3945","2025-02-27 19:42:00-03","METABASE_PERSON_552","METABASE_144","METABASE_SUP_schumm,_brown_and_wehner","METABASE_CAT_widget","2.0000","30.6000"
"METABASE_3944","2024-04-13 13:02:00-03","METABASE_PERSON_552","METABASE_129","METABASE_SUP_turner,_kiehn_and_schmitt","METABASE_CAT_gizmo","3.0000","49.3900"
"METABASE_3943","2025-01-25 15:53:00-03","METABASE_PERSON_552","METABASE_141","METABASE_SUP_nikolaus-hudson","METABASE_CAT_doohickey","2.0000","63.1000"
"METABASE_3053","2024-07-05 09:46:00-03","METABASE_1283","METABASE_13","METABASE_SUP_mr._tanya_stracke_and_sons","METABASE_CAT_gizmo","4.0000","28.1575"
"METABASE_3052","2024-07-20 01:27:00-03","METABASE_1283","METABASE_111","METABASE_SUP_hane,_hamill_and_jerde","METABASE_CAT_gadget","4.0000","13.8825"
"METABASE_3051","2024-09-09 15:17:00-03","METABASE_1283","METABASE_98","METABASE_SUP_pacocha-volkman","METABASE_CAT_gizmo","3.0000","37.4733"
"METABASE_3050","2023-06-29 11:33:00-03","METABASE_1283","METABASE_61","METABASE_SUP_jordi_effertz_llc","METABASE_CAT_gizmo","4.0000","3.9225"
"METABASE_3049","2025-05-29 06:46:00-03","METABASE_1283","METABASE_153","METABASE_SUP_wilkinson,_donnelly_and_gulgowski","METABASE_CAT_gadget","3.0000","22.2667"
"METABASE_3048","2024-12-20 15:27:00-03","METABASE_1283","METABASE_33","METABASE_SUP_spinka-stokes","METABASE_CAT_doohickey","2.0000","23.8700"
"METABASE_3047","2025-12-30 09:53:00-03","METABASE_1283","METABASE_188","METABASE_SUP_jones,_hayes_and_kshlerin","METABASE_CAT_doohickey","2.0000","16.9400"
"METABASE_14595","2024-04-21 08:11:00-03","METABASE_1347","METABASE_67","METABASE_SUP_myriam_macejkovic_inc","METABASE_CAT_gizmo","4.0000","10.3100"
"METABASE_14594","2025-04-26 11:52:00-03","METABASE_1347","METABASE_50","METABASE_SUP_hartmann,_mohr_and_stiedemann","METABASE_CAT_widget","3.0000","17.8800"
"METABASE_14593","2024-08-19 14:45:00-03","METABASE_1347","METABASE_186","METABASE_SUP_theodore_hansen_inc","METABASE_CAT_gizmo","4.0000","24.7450"
"METABASE_14592","2024-10-08 07:57:00-03","METABASE_1347","METABASE_200","METABASE_SUP_pouros,_nitzsche_and_mayer","METABASE_CAT_gadget","5.0000","14.6400"
